season,circuitId,circuitName
2000,albert_park,Albert Park Grand Prix Circuit
2000,catalunya,Circuit de Barcelona-Catalunya
2000,hockenheimring,Hockenheimring
2000,hungaroring,Hungaroring
2000,imola,Autodromo Enzo e Dino Ferrari
2000,indianapolis,Indianapolis Motor Speedway
2000,interlagos,Autódromo José Carlos Pace
2000,magny_cours,Circuit de Nevers Magny-Cours
2000,monaco,Circuit de Monaco
2000,monza,Autodromo Nazionale di Monza
2000,nurburgring,Nürburgring
2000,red_bull_ring,Red Bull Ring
2000,sepang,Sepang International Circuit
2000,silverstone,Silverstone Circuit
2000,spa,Circuit de Spa-Francorchamps
2000,suzuka,Suzuka Circuit
2000,villeneuve,Circuit Gilles Villeneuve
2001,albert_park,Albert Park Grand Prix Circuit
2001,catalunya,Circuit de Barcelona-Catalunya
2001,hockenheimring,Hockenheimring
2001,hungaroring,Hungaroring
2001,imola,Autodromo Enzo e Dino Ferrari
2001,indianapolis,Indianapolis Motor Speedway
2001,interlagos,Autódromo José Carlos Pace
2001,magny_cours,Circuit de Nevers Magny-Cours
2001,monaco,Circuit de Monaco
2001,monza,Autodromo Nazionale di Monza
2001,nurburgring,Nürburgring
2001,red_bull_ring,Red Bull Ring
2001,sepang,Sepang International Circuit
2001,silverstone,Silverstone Circuit
2001,spa,Circuit de Spa-Francorchamps
2001,suzuka,Suzuka Circuit
2001,villeneuve,Circuit Gilles Villeneuve
2002,albert_park,Albert Park Grand Prix Circuit
2002,catalunya,Circuit de Barcelona-Catalunya
2002,hockenheimring,Hockenheimring
2002,hungaroring,Hungaroring
2002,imola,Autodromo Enzo e Dino Ferrari
2002,indianapolis,Indianapolis Motor Speedway
2002,interlagos,Autódromo José Carlos Pace
2002,magny_cours,Circuit de Nevers Magny-Cours
2002,monaco,Circuit de Monaco
2002,monza,Autodromo Nazionale di Monza
2002,nurburgring,Nürburgring
2002,red_bull_ring,Red Bull Ring
2002,sepang,Sepang International Circuit
2002,silverstone,Silverstone Circuit
2002,spa,Circuit de Spa-Francorchamps
2002,suzuka,Suzuka Circuit
2002,villeneuve,Circuit Gilles Villeneuve
2003,albert_park,Albert Park Grand Prix Circuit
2003,catalunya,Circuit de Barcelona-Catalunya
2003,hockenheimring,Hockenheimring
2003,hungaroring,Hungaroring
2003,imola,Autodromo Enzo e Dino Ferrari
2003,indianapolis,Indianapolis Motor Speedway
2003,interlagos,Autódromo José Carlos Pace
2003,magny_cours,Circuit de Nevers Magny-Cours
2003,monaco,Circuit de Monaco
2003,monza,Autodromo Nazionale di Monza
2003,nurburgring,Nürburgring
2003,red_bull_ring,Red Bull Ring
2003,sepang,Sepang International Circuit
2003,silverstone,Silverstone Circuit
2003,spa,Circuit de Spa-Francorchamps
2003,suzuka,Suzuka Circuit
2003,villeneuve,Circuit Gilles Villeneuve
2004,albert_park,Albert Park Grand Prix Circuit
2004,catalunya,Circuit de Barcelona-Catalunya
2004,hockenheimring,Hockenheimring
2004,hungaroring,Hungaroring
2004,imola,Autodromo Enzo e Dino Ferrari
2004,indianapolis,Indianapolis Motor Speedway
2004,interlagos,Autódromo José Carlos Pace
2004,magny_cours,Circuit de Nevers Magny-Cours
2004,monaco,Circuit de Monaco
2004,monza,Autodromo Nazionale di Monza
2004,nurburgring,Nürburgring
2004,red_bull_ring,Red Bull Ring
2004,sepang,Sepang International Circuit
2004,silverstone,Silverstone Circuit
2004,spa,Circuit de Spa-Francorchamps
2004,suzuka,Suzuka Circuit
2004,villeneuve,Circuit Gilles Villeneuve
2005,albert_park,Albert Park Grand Prix Circuit
2005,catalunya,Circuit de Barcelona-Catalunya
2005,hockenheimring,Hockenheimring
2005,hungaroring,Hungaroring
2005,imola,Autodromo Enzo e Dino Ferrari
2005,indianapolis,Indianapolis Motor Speedway
2005,interlagos,Autódromo José Carlos Pace
2005,magny_cours,Circuit de Nevers Magny-Cours
2005,monaco,Circuit de Monaco
2005,monza,Autodromo Nazionale di Monza
2005,nurburgring,Nürburgring
2005,red_bull_ring,Red Bull Ring
2005,sepang,Sepang International Circuit
2005,silverstone,Silverstone Circuit
2005,spa,Circuit de Spa-Francorchamps
2005,suzuka,Suzuka Circuit
2005,villeneuve,Circuit Gilles Villeneuve
2006,albert_park,Albert Park Grand Prix Circuit
2006,catalunya,Circuit de Barcelona-Catalunya
2006,hockenheimring,Hockenheimring
2006,hungaroring,Hungaroring
2006,imola,Autodromo Enzo e Dino Ferrari
2006,indianapolis,Indianapolis Motor Speedway
2006,interlagos,Autódromo José Carlos Pace
2006,magny_cours,Circuit de Nevers Magny-Cours
2006,monaco,Circuit de Monaco
2006,monza,Autodromo Nazionale di Monza
2006,nurburgring,Nürburgring
2006,red_bull_ring,Red Bull Ring
2006,sepang,Sepang International Circuit
2006,silverstone,Silverstone Circuit
2006,spa,Circuit de Spa-Francorchamps
2006,suzuka,Suzuka Circuit
2006,villeneuve,Circuit Gilles Villeneuve
2007,albert_park,Albert Park Grand Prix Circuit
2007,catalunya,Circuit de Barcelona-Catalunya
2007,hockenheimring,Hockenheimring
2007,hungaroring,Hungaroring
2007,imola,Autodromo Enzo e Dino Ferrari
2007,indianapolis,Indianapolis Motor Speedway
2007,interlagos,Autódromo José Carlos Pace
2007,magny_cours,Circuit de Nevers Magny-Cours
2007,monaco,Circuit de Monaco
2007,monza,Autodromo Nazionale di Monza
2007,nurburgring,Nürburgring
2007,red_bull_ring,Red Bull Ring
2007,sepang,Sepang International Circuit
2007,silverstone,Silverstone Circuit
2007,spa,Circuit de Spa-Francorchamps
2007,suzuka,Suzuka Circuit
2007,villeneuve,Circuit Gilles Villeneuve
2008,albert_park,Albert Park Grand Prix Circuit
2008,catalunya,Circuit de Barcelona-Catalunya
2008,hockenheimring,Hockenheimring
2008,hungaroring,Hungaroring
2008,imola,Autodromo Enzo e Dino Ferrari
2008,indianapolis,Indianapolis Motor Speedway
2008,interlagos,Autódromo José Carlos Pace
2008,magny_cours,Circuit de Nevers Magny-Cours
2008,monaco,Circuit de Monaco
2008,monza,Autodromo Nazionale di Monza
2008,nurburgring,Nürburgring
2008,red_bull_ring,Red Bull Ring
2008,sepang,Sepang International Circuit
2008,silverstone,Silverstone Circuit
2008,spa,Circuit de Spa-Francorchamps
2008,suzuka,Suzuka Circuit
2008,villeneuve,Circuit Gilles Villeneuve
2009,albert_park,Albert Park Grand Prix Circuit
2009,catalunya,Circuit de Barcelona-Catalunya
2009,hockenheimring,Hockenheimring
2009,hungaroring,Hungaroring
2009,imola,Autodromo Enzo e Dino Ferrari
2009,indianapolis,Indianapolis Motor Speedway
2009,interlagos,Autódromo José Carlos Pace
2009,magny_cours,Circuit de Nevers Magny-Cours
2009,monaco,Circuit de Monaco
2009,monza,Autodromo Nazionale di Monza
2009,nurburgring,Nürburgring
2009,red_bull_ring,Red Bull Ring
2009,sepang,Sepang International Circuit
2009,silverstone,Silverstone Circuit
2009,spa,Circuit de Spa-Francorchamps
2009,suzuka,Suzuka Circuit
2009,villeneuve,Circuit Gilles Villeneuve
2010,albert_park,Albert Park Grand Prix Circuit
2010,catalunya,Circuit de Barcelona-Catalunya
2010,hockenheimring,Hockenheimring
2010,hungaroring,Hungaroring
2010,imola,Autodromo Enzo e Dino Ferrari
2010,indianapolis,Indianapolis Motor Speedway
2010,interlagos,Autódromo José Carlos Pace
2010,magny_cours,Circuit de Nevers Magny-Cours
2010,monaco,Circuit de Monaco
2010,monza,Autodromo Nazionale di Monza
2010,nurburgring,Nürburgring
2010,red_bull_ring,Red Bull Ring
2010,sepang,Sepang International Circuit
2010,silverstone,Silverstone Circuit
2010,spa,Circuit de Spa-Francorchamps
2010,suzuka,Suzuka Circuit
2010,villeneuve,Circuit Gilles Villeneuve
2011,albert_park,Albert Park Grand Prix Circuit
2011,catalunya,Circuit de Barcelona-Catalunya
2011,hockenheimring,Hockenheimring
2011,hungaroring,Hungaroring
2011,imola,Autodromo Enzo e Dino Ferrari
2011,indianapolis,Indianapolis Motor Speedway
2011,interlagos,Autódromo José Carlos Pace
2011,magny_cours,Circuit de Nevers Magny-Cours
2011,monaco,Circuit de Monaco
2011,monza,Autodromo Nazionale di Monza
2011,nurburgring,Nürburgring
2011,red_bull_ring,Red Bull Ring
2011,sepang,Sepang International Circuit
2011,silverstone,Silverstone Circuit
2011,spa,Circuit de Spa-Francorchamps
2011,suzuka,Suzuka Circuit
2011,villeneuve,Circuit Gilles Villeneuve
2012,albert_park,Albert Park Grand Prix Circuit
2012,catalunya,Circuit de Barcelona-Catalunya
2012,hockenheimring,Hockenheimring
2012,hungaroring,Hungaroring
2012,imola,Autodromo Enzo e Dino Ferrari
2012,indianapolis,Indianapolis Motor Speedway
2012,interlagos,Autódromo José Carlos Pace
2012,magny_cours,Circuit de Nevers Magny-Cours
2012,monaco,Circuit de Monaco
2012,monza,Autodromo Nazionale di Monza
2012,nurburgring,Nürburgring
2012,red_bull_ring,Red Bull Ring
2012,sepang,Sepang International Circuit
2012,silverstone,Silverstone Circuit
2012,spa,Circuit de Spa-Francorchamps
2012,suzuka,Suzuka Circuit
2012,villeneuve,Circuit Gilles Villeneuve
2013,albert_park,Albert Park Grand Prix Circuit
2013,catalunya,Circuit de Barcelona-Catalunya
2013,hockenheimring,Hockenheimring
2013,hungaroring,Hungaroring
2013,imola,Autodromo Enzo e Dino Ferrari
2013,indianapolis,Indianapolis Motor Speedway
2013,interlagos,Autódromo José Carlos Pace
2013,magny_cours,Circuit de Nevers Magny-Cours
2013,monaco,Circuit de Monaco
2013,monza,Autodromo Nazionale di Monza
2013,nurburgring,Nürburgring
2013,red_bull_ring,Red Bull Ring
2013,sepang,Sepang International Circuit
2013,silverstone,Silverstone Circuit
2013,spa,Circuit de Spa-Francorchamps
2013,suzuka,Suzuka Circuit
2013,villeneuve,Circuit Gilles Villeneuve
2014,albert_park,Albert Park Grand Prix Circuit
2014,catalunya,Circuit de Barcelona-Catalunya
2014,hockenheimring,Hockenheimring
2014,hungaroring,Hungaroring
2014,imola,Autodromo Enzo e Dino Ferrari
2014,indianapolis,Indianapolis Motor Speedway
2014,interlagos,Autódromo José Carlos Pace
2014,magny_cours,Circuit de Nevers Magny-Cours
2014,monaco,Circuit de Monaco
2014,monza,Autodromo Nazionale di Monza
2014,nurburgring,Nürburgring
2014,red_bull_ring,Red Bull Ring
2014,sepang,Sepang International Circuit
2014,silverstone,Silverstone Circuit
2014,spa,Circuit de Spa-Francorchamps
2014,suzuka,Suzuka Circuit
2014,villeneuve,Circuit Gilles Villeneuve
2015,albert_park,Albert Park Grand Prix Circuit
2015,catalunya,Circuit de Barcelona-Catalunya
2015,hockenheimring,Hockenheimring
2015,hungaroring,Hungaroring
2015,imola,Autodromo Enzo e Dino Ferrari
2015,indianapolis,Indianapolis Motor Speedway
2015,interlagos,Autódromo José Carlos Pace
2015,magny_cours,Circuit de Nevers Magny-Cours
2015,monaco,Circuit de Monaco
2015,monza,Autodromo Nazionale di Monza
2015,nurburgring,Nürburgring
2015,red_bull_ring,Red Bull Ring
2015,sepang,Sepang International Circuit
2015,silverstone,Silverstone Circuit
2015,spa,Circuit de Spa-Francorchamps
2015,suzuka,Suzuka Circuit
2015,villeneuve,Circuit Gilles Villeneuve
2016,albert_park,Albert Park Grand Prix Circuit
2016,catalunya,Circuit de Barcelona-Catalunya
2016,hockenheimring,Hockenheimring
2016,hungaroring,Hungaroring
2016,imola,Autodromo Enzo e Dino Ferrari
2016,indianapolis,Indianapolis Motor Speedway
2016,interlagos,Autódromo José Carlos Pace
2016,magny_cours,Circuit de Nevers Magny-Cours
2016,monaco,Circuit de Monaco
2016,monza,Autodromo Nazionale di Monza
2016,nurburgring,Nürburgring
2016,red_bull_ring,Red Bull Ring
2016,sepang,Sepang International Circuit
2016,silverstone,Silverstone Circuit
2016,spa,Circuit de Spa-Francorchamps
2016,suzuka,Suzuka Circuit
2016,villeneuve,Circuit Gilles Villeneuve
2017,albert_park,Albert Park Grand Prix Circuit
2017,catalunya,Circuit de Barcelona-Catalunya
2017,hockenheimring,Hockenheimring
2017,hungaroring,Hungaroring
2017,imola,Autodromo Enzo e Dino Ferrari
2017,indianapolis,Indianapolis Motor Speedway
2017,interlagos,Autódromo José Carlos Pace
2017,magny_cours,Circuit de Nevers Magny-Cours
2017,monaco,Circuit de Monaco
2017,monza,Autodromo Nazionale di Monza
2017,nurburgring,Nürburgring
2017,red_bull_ring,Red Bull Ring
2017,sepang,Sepang International Circuit
2017,silverstone,Silverstone Circuit
2017,spa,Circuit de Spa-Francorchamps
2017,suzuka,Suzuka Circuit
2017,villeneuve,Circuit Gilles Villeneuve
2018,albert_park,Albert Park Grand Prix Circuit
2018,catalunya,Circuit de Barcelona-Catalunya
2018,hockenheimring,Hockenheimring
2018,hungaroring,Hungaroring
2018,imola,Autodromo Enzo e Dino Ferrari
2018,indianapolis,Indianapolis Motor Speedway
2018,interlagos,Autódromo José Carlos Pace
2018,magny_cours,Circuit de Nevers Magny-Cours
2018,monaco,Circuit de Monaco
2018,monza,Autodromo Nazionale di Monza
2018,nurburgring,Nürburgring
2018,red_bull_ring,Red Bull Ring
2018,sepang,Sepang International Circuit
2018,silverstone,Silverstone Circuit
2018,spa,Circuit de Spa-Francorchamps
2018,suzuka,Suzuka Circuit
2018,villeneuve,Circuit Gilles Villeneuve
2019,albert_park,Albert Park Grand Prix Circuit
2019,catalunya,Circuit de Barcelona-Catalunya
2019,hockenheimring,Hockenheimring
2019,hungaroring,Hungaroring
2019,imola,Autodromo Enzo e Dino Ferrari
2019,indianapolis,Indianapolis Motor Speedway
2019,interlagos,Autódromo José Carlos Pace
2019,magny_cours,Circuit de Nevers Magny-Cours
2019,monaco,Circuit de Monaco
2019,monza,Autodromo Nazionale di Monza
2019,nurburgring,Nürburgring
2019,red_bull_ring,Red Bull Ring
2019,sepang,Sepang International Circuit
