season,constructorId,name,nationality
2000,arrows,Arrows,British
2000,bar,BAR,British
2000,benetton,Benetton,Italian
2000,ferrari,Ferrari,Italian
2000,jaguar,Jaguar,British
2000,jordan,Jordan,Irish
2000,mclaren,McLaren,British
2000,minardi,Minardi,Italian
2000,prost,Prost,French
2000,sauber,Sauber,Swiss
2000,williams,Williams,British
2001,arrows,Arrows,British
2001,bar,BAR,British
2001,benetton,Benetton,Italian
2001,ferrari,Ferrari,Italian
2001,jaguar,Jaguar,British
2001,jordan,Jordan,Irish
2001,mclaren,McLaren,British
2001,minardi,Minardi,Italian
2001,prost,Prost,French
2001,sauber,Sauber,Swiss
2001,williams,Williams,British
2002,arrows,Arrows,British
2002,bar,BAR,British
2002,benetton,Benetton,Italian
2002,ferrari,Ferrari,Italian
2002,jaguar,Jaguar,British
2002,jordan,Jordan,Irish
2002,mclaren,McLaren,British
2002,minardi,Minardi,Italian
2002,prost,Prost,French
2002,sauber,Sauber,Swiss
2002,williams,Williams,British
2003,arrows,Arrows,British
2003,bar,BAR,British
2003,benetton,Benetton,Italian
2003,ferrari,Ferrari,Italian
2003,jaguar,Jaguar,British
2003,jordan,Jordan,Irish
2003,mclaren,McLaren,British
2003,minardi,Minardi,Italian
2003,prost,Prost,French
2003,sauber,Sauber,Swiss
2003,williams,Williams,British
2004,arrows,Arrows,British
2004,bar,BAR,British
2004,benetton,Benetton,Italian
2004,ferrari,Ferrari,Italian
2004,jaguar,Jaguar,British
2004,jordan,Jordan,Irish
2004,mclaren,McLaren,British
2004,minardi,Minardi,Italian
2004,prost,Prost,French
2004,sauber,Sauber,Swiss
2004,williams,Williams,British
2005,arrows,Arrows,British
2005,bar,BAR,British
2005,benetton,Benetton,Italian
2005,ferrari,Ferrari,Italian
2005,jaguar,Jaguar,British
2005,jordan,Jordan,Irish
2005,mclaren,McLaren,British
2005,minardi,Minardi,Italian
2005,prost,Prost,French
2005,sauber,Sauber,Swiss
2005,williams,Williams,British
2006,arrows,Arrows,British
2006,bar,BAR,British
2006,benetton,Benetton,Italian
2006,ferrari,Ferrari,Italian
2006,jaguar,Jaguar,British
2006,jordan,Jordan,Irish
2006,mclaren,McLaren,British
2006,minardi,Minardi,Italian
2006,prost,Prost,French
2006,sauber,Sauber,Swiss
2006,williams,Williams,British
2007,arrows,Arrows,British
2007,bar,BAR,British
2007,benetton,Benetton,Italian
2007,ferrari,Ferrari,Italian
2007,jaguar,Jaguar,British
2007,jordan,Jordan,Irish
2007,mclaren,McLaren,British
2007,minardi,Minardi,Italian
2007,prost,Prost,French
2007,sauber,Sauber,Swiss
2007,williams,Williams,British
2008,arrows,Arrows,British
2008,bar,BAR,British
2008,benetton,Benetton,Italian
2008,ferrari,Ferrari,Italian
2008,jaguar,Jaguar,British
2008,jordan,Jordan,Irish
2008,mclaren,McLaren,British
2008,minardi,Minardi,Italian
2008,prost,Prost,French
2008,sauber,Sauber,Swiss
2008,williams,Williams,British
2009,arrows,Arrows,British
2009,bar,BAR,British
2009,benetton,Benetton,Italian
2009,ferrari,Ferrari,Italian
2009,jaguar,Jaguar,British
2009,jordan,Jordan,Irish
2009,mclaren,McLaren,British
2009,minardi,Minardi,Italian
2009,prost,Prost,French
2009,sauber,Sauber,Swiss
2009,williams,Williams,British
2010,arrows,Arrows,British
2010,bar,BAR,British
2010,benetton,Benetton,Italian
2010,ferrari,Ferrari,Italian
2010,jaguar,Jaguar,British
2010,jordan,Jordan,Irish
2010,mclaren,McLaren,British
2010,minardi,Minardi,Italian
2010,prost,Prost,French
2010,sauber,Sauber,Swiss
2010,williams,Williams,British
2011,arrows,Arrows,British
2011,bar,BAR,British
2011,benetton,Benetton,Italian
