season,driverId,givenName,familyName,nationality
2000,alesi,Jean,Alesi,French
2000,barrichello,Rubens,Barrichello,Brazilian
2000,burti,Luciano,Burti,Brazilian
2000,button,Jenson,Button,British
2000,coulthard,David,Coulthard,British
2000,rosa,Pedro,de la Rosa,Spanish
2000,diniz,Pedro,Diniz,Brazilian
2000,fisichella,Giancarlo,Fisichella,Italian
2000,frentzen,Heinz-Harald,Frentzen,German
2000,gene,Marc,Gené,Spanish
2000,hakkinen,Mika,Häkkinen,Finnish
2000,heidfeld,Nick,Heidfeld,German
2000,herbert,Johnny,Herbert,British
2000,irvine,Eddie,Irvine,British
2000,mazzacane,Gastón,Mazzacane,Argentine
2000,salo,Mika,Salo,Finnish
2000,ralf_schumacher,Ralf,Schumacher,German
2000,michael_schumacher,Michael,Schumacher,German
2000,trulli,Jarno,Trulli,Italian
2000,verstappen,Jos,Verstappen,Dutch
2000,villeneuve,Jacques,Villeneuve,Canadian
2000,wurz,Alexander,Wurz,Austrian
2000,zonta,Ricardo,Zonta,Brazilian
2001,alesi,Jean,Alesi,French
2001,barrichello,Rubens,Barrichello,Brazilian
2001,burti,Luciano,Burti,Brazilian
2001,button,Jenson,Button,British
2001,coulthard,David,Coulthard,British
2001,rosa,Pedro,de la Rosa,Spanish
2001,diniz,Pedro,Diniz,Brazilian
2001,fisichella,Giancarlo,Fisichella,Italian
2001,frentzen,Heinz-Harald,Frentzen,German
2001,gene,Marc,Gené,Spanish
2001,hakkinen,Mika,Häkkinen,Finnish
2001,heidfeld,Nick,Heidfeld,German
2001,herbert,Johnny,Herbert,British
2001,irvine,Eddie,Irvine,British
2001,mazzacane,Gastón,Mazzacane,Argentine
2001,salo,Mika,Salo,Finnish
2001,ralf_schumacher,Ralf,Schumacher,German
2001,michael_schumacher,Michael,Schumacher,German
2001,trulli,Jarno,Trulli,Italian
2001,verstappen,Jos,Verstappen,Dutch
2001,villeneuve,Jacques,Villeneuve,Canadian
2001,wurz,Alexander,Wurz,Austrian
2001,zonta,Ricardo,Zonta,Brazilian
2002,alesi,Jean,Alesi,French
2002,barrichello,Rubens,Barrichello,Brazilian
2002,burti,Luciano,Burti,Brazilian
2002,button,Jenson,Button,British
2002,coulthard,David,Coulthard,British
2002,rosa,Pedro,de la Rosa,Spanish
2002,diniz,Pedro,Diniz,Brazilian
2002,fisichella,Giancarlo,Fisichella,Italian
2002,frentzen,Heinz-Harald,Frentzen,German
2002,gene,Marc,Gené,Spanish
2002,hakkinen,Mika,Häkkinen,Finnish
2002,heidfeld,Nick,Heidfeld,German
2002,herbert,Johnny,Herbert,British
2002,irvine,Eddie,Irvine,British
2002,mazzacane,Gastón,Mazzacane,Argentine
2002,salo,Mika,Salo,Finnish
2002,ralf_schumacher,Ralf,Schumacher,German
2002,michael_schumacher,Michael,Schumacher,German
2002,trulli,Jarno,Trulli,Italian
2002,verstappen,Jos,Verstappen,Dutch
2002,villeneuve,Jacques,Villeneuve,Canadian
2002,wurz,Alexander,Wurz,Austrian
2002,zonta,Ricardo,Zonta,Brazilian
2003,alesi,Jean,Alesi,French
2003,barrichello,Rubens,Barrichello,Brazilian
2003,burti,Luciano,Burti,Brazilian
2003,button,Jenson,Button,British
2003,coulthard,David,Coulthard,British
2003,rosa,Pedro,de la Rosa,Spanish
2003,diniz,Pedro,Diniz,Brazilian
2003,fisichella,Giancarlo,Fisichella,Italian
2003,frentzen,Heinz-Harald,Frentzen,German
2003,gene,Marc,Gené,Spanish
2003,hakkinen,Mika,Häkkinen,Finnish
2003,heidfeld,Nick,Heidfeld,German
2003,herbert,Johnny,Herbert,British
2003,irvine,Eddie,Irvine,British
2003,mazzacane,Gastón,Mazzacane,Argentine
