raceId,year,name,round
12000,2000,Australian Grand Prix,1
22000,2000,Brazilian Grand Prix,2
32000,2000,San Marino Grand Prix,3
42000,2000,British Grand Prix,4
52000,2000,Spanish Grand Prix,5
62000,2000,European Grand Prix,6
72000,2000,Monaco Grand Prix,7
82000,2000,Canadian Grand Prix,8
92000,2000,French Grand Prix,9
102000,2000,Austrian Grand Prix,10
112000,2000,German Grand Prix,11
122000,2000,Hungarian Grand Prix,12
132000,2000,Belgian Grand Prix,13
142000,2000,Italian Grand Prix,14
152000,2000,United States Grand Prix,15
162000,2000,Japanese Grand Prix,16
172000,2000,Malaysian Grand Prix,17
12001,2001,Australian Grand Prix,1
22001,2001,Brazilian Grand Prix,2
32001,2001,San Marino Grand Prix,3
42001,2001,British Grand Prix,4
52001,2001,Spanish Grand Prix,5
62001,2001,European Grand Prix,6
72001,2001,Monaco Grand Prix,7
82001,2001,Canadian Grand Prix,8
92001,2001,French Grand Prix,9
102001,2001,Austrian Grand Prix,10
112001,2001,German Grand Prix,11
122001,2001,Hungarian Grand Prix,12
132001,2001,Belgian Grand Prix,13
142001,2001,Italian Grand Prix,14
152001,2001,United States Grand Prix,15
162001,2001,Japanese Grand Prix,16
172001,2001,Malaysian Grand Prix,17
12002,2002,Australian Grand Prix,1
22002,2002,Brazilian Grand Prix,2
32002,2002,San Marino Grand Prix,3
42002,2002,British Grand Prix,4
52002,2002,Spanish Grand Prix,5
62002,2002,European Grand Prix,6
72002,2002,Monaco Grand Prix,7
82002,2002,Canadian Grand Prix,8
92002,2002,French Grand Prix,9
102002,2002,Austrian Grand Prix,10
112002,2002,German Grand Prix,11
122002,2002,Hungarian Grand Prix,12
132002,2002,Belgian Grand Prix,13
142002,2002,Italian Grand Prix,14
152002,2002,United States Grand Prix,15
162002,2002,Japanese Grand Prix,16
172002,2002,Malaysian Grand Prix,17
12003,2003,Australian Grand Prix,1
22003,2003,Brazilian Grand Prix,2
32003,2003,San Marino Grand Prix,3
42003,2003,British Grand Prix,4
52003,2003,Spanish Grand Prix,5
62003,2003,European Grand Prix,6
72003,2003,Monaco Grand Prix,7
82003,2003,Canadian Grand Prix,8
92003,2003,French Grand Prix,9
102003,2003,Austrian Grand Prix,10
112003,2003,German Grand Prix,11
122003,2003,Hungarian Grand Prix,12
132003,2003,Belgian Grand Prix,13
142003,2003,Italian Grand Prix,14
152003,2003,United States Grand Prix,15
162003,2003,Japanese Grand Prix,16
172003,2003,Malaysian Grand Prix,17
12004,2004,Australian Grand Prix,1
22004,2004,Brazilian Grand Prix,2
32004,2004,San Marino Grand Prix,3
42004,2004,British Grand Prix,4
52004,2004,Spanish Grand Prix,5
62004,2004,European Grand Prix,6
72004,2004,Monaco Grand Prix,7
82004,2004,Canadian Grand Prix,8
92004,2004,French Grand Prix,9
102004,2004,Austrian Grand Prix,10
112004,2004,German Grand Prix,11
122004,2004,Hungarian Grand Prix,12
132004,2004,Belgian Grand Prix,13
142004,2004,Italian Grand Prix,14
152004,2004,United States Grand Prix,15
162004,2004,Japanese Grand Prix,16
172004,2004,Malaysian Grand Prix,17
12005,2005,Australian Grand Prix,1
22005,2005,Brazilian Grand Prix,2
32005,2005,San Marino Grand Prix,3
42005,2005,British Grand Prix,4
52005,2005,Spanish Grand Prix,5
62005,2005,European Grand Prix,6
72005,2005,Monaco Grand Prix,7
82005,2005,Canadian Grand Prix,8
92005,2005,French Grand Prix,9
102005,2005,Austrian Grand Prix,10
112005,2005,German Grand Prix,11
122005,2005,Hungarian Grand Prix,12
132005,2005,Belgian Grand Prix,13
142005,2005,Italian Grand Prix,14
152005,2005,United States Grand Prix,15
162005,2005,Japanese Grand Prix,16
172005,2005,Malaysian Grand Prix,17
12006,2006,Australian Grand Prix,1
22006,2006,Brazilian Grand Prix,2
32006,2006,San Marino Grand Prix,3
42006,2006,British Grand Prix,4
52006,2006,Spanish Grand Prix,5
62006,2006,European Grand Prix,6
72006,2006,Monaco Grand Prix,7
82006,2006,Canadian Grand Prix,8
92006,2006,French Grand Prix,9
102006,2006,Austrian Grand Prix,10
112006,2006,German Grand Prix,11
122006,2006,Hungarian Grand Prix,12
132006,2006,Belgian Grand Prix,13
142006,2006,Italian Grand Prix,14
152006,2006,United States Grand Prix,15
162006,2006,Japanese Grand Prix,16
172006,2006,Malaysian Grand Prix,17
12007,2007,Australian Grand Prix,1
22007,2007,Brazilian Grand Prix,2
32007,2007,San Marino Grand Prix,3
42007,2007,British Grand Prix,4
52007,2007,Spanish Grand Prix,5
62007,2007,European Grand Prix,6
72007,2007,Monaco Grand Prix,7
82007,2007,Canadian Grand Prix,8
92007,2007,French Grand Prix,9
102007,2007,Austrian Grand Prix,10
112007,2007,German Grand Prix,11
122007,2007,Hungarian Grand Prix,12
132007,2007,Belgian Grand Prix,13
142007,2007,Italian Grand Prix,14
152007,2007,United States Grand Prix,15
162007,2007,Japanese Grand Prix,16
172007,2007,Malaysian Grand Prix,17
12008,2008,Australian Grand Prix,1
22008,2008,Brazilian Grand Prix,2
32008,2008,San Marino Grand Prix,3
42008,2008,British Grand Prix,4
52008,2008,Spanish Grand Prix,5
62008,2008,European Grand Prix,6
72008,2008,Monaco Grand Prix,7
82008,2008,Canadian Grand Prix,8
92008,2008,French Grand Prix,9
102008,2008,Austrian Grand Prix,10
112008,2008,German Grand Prix,11
122008,2008,Hungarian Grand Prix,12
132008,2008,Belgian Grand Prix,13
142008,2008,Italian Grand Prix,14
152008,2008,United States Grand Prix,15
162008,2008,Japanese Grand Prix,16
172008,2008,Malaysian Grand Prix,17
12009,2009,Australian Grand Prix,1
22009,2009,Brazilian Grand Prix,2
32009,2009,San Marino Grand Prix,3
42009,2009,British Grand Prix,4
52009,2009,Spanish Grand Prix,5
62009,2009,European Grand Prix,6
72009,2009,Monaco Grand Prix,7
82009,2009,Canadian Grand Prix,8
92009,2009,French Grand Prix,9
