resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
17,172000,hakkinen,,,,,,,,,,,,,,,
34,172000,villeneuve,,,,,,,,,,,,,,,
51,172000,ralf_schumacher,,,,,,,,,,,,,,,
68,172000,frentzen,,,,,,,,,,,,,,,
85,172000,button,,,,,,,,,,,,,,,
102,172000,verstappen,,,,,,,,,,,,,,,
119,172000,alesi,,,,,,,,,,,,,,,
136,172000,rosa,,,,,,,,,,,,,,,
153,172000,rosa,,,,,,,,,,,,,,,
170,172000,rosa,,,,,,,,,,,,,,,
187,172000,wurz,,,,,,,,,,,,,,,
204,172000,mazzacane,,,,,,,,,,,,,,,
221,172000,mazzacane,,,,,,,,,,,,,,,
238,172000,barrichello,,,,,,,,,,,,,,,
255,172000,fisichella,,,,,,,,,,,,,,,
272,172000,ralf_schumacher,,,,,,,,,,,,,,,
289,172000,gene,,,,,,,,,,,,,,,
17,172001,hakkinen,,,,,,,,,,,,,,,
34,172001,villeneuve,,,,,,,,,,,,,,,
51,172001,ralf_schumacher,,,,,,,,,,,,,,,
68,172001,frentzen,,,,,,,,,,,,,,,
85,172001,button,,,,,,,,,,,,,,,
102,172001,verstappen,,,,,,,,,,,,,,,
119,172001,alesi,,,,,,,,,,,,,,,
136,172001,rosa,,,,,,,,,,,,,,,
153,172001,rosa,,,,,,,,,,,,,,,
170,172001,rosa,,,,,,,,,,,,,,,
187,172001,wurz,,,,,,,,,,,,,,,
204,172001,mazzacane,,,,,,,,,,,,,,,
221,172001,mazzacane,,,,,,,,,,,,,,,
238,172001,barrichello,,,,,,,,,,,,,,,
255,172001,fisichella,,,,,,,,,,,,,,,
272,172001,ralf_schumacher,,,,,,,,,,,,,,,
289,172001,gene,,,,,,,,,,,,,,,
17,172002,hakkinen,,,,,,,,,,,,,,,
34,172002,villeneuve,,,,,,,,,,,,,,,
51,172002,ralf_schumacher,,,,,,,,,,,,,,,
68,172002,frentzen,,,,,,,,,,,,,,,
85,172002,button,,,,,,,,,,,,,,,
102,172002,verstappen,,,,,,,,,,,,,,,
119,172002,alesi,,,,,,,,,,,,,,,
136,172002,rosa,,,,,,,,,,,,,,,
153,172002,rosa,,,,,,,,,,,,,,,
170,172002,rosa,,,,,,,,,,,,,,,
187,172002,wurz,,,,,,,,,,,,,,,
204,172002,mazzacane,,,,,,,,,,,,,,,
221,172002,mazzacane,,,,,,,,,,,,,,,
238,172002,barrichello,,,,,,,,,,,,,,,
255,172002,fisichella,,,,,,,,,,,,,,,
272,172002,ralf_schumacher,,,,,,,,,,,,,,,
289,172002,gene,,,,,,,,,,,,,,,
17,172003,hakkinen,,,,,,,,,,,,,,,
34,172003,villeneuve,,,,,,,,,,,,,,,
51,172003,ralf_schumacher,,,,,,,,,,,,,,,
68,172003,frentzen,,,,,,,,,,,,,,,
85,172003,button,,,,,,,,,,,,,,,
102,172003,verstappen,,,,,,,,,,,,,,,
119,172003,alesi,,,,,,,,,,,,,,,
136,172003,rosa,,,,,,,,,,,,,,,
153,172003,rosa,,,,,,,,,,,,,,,
170,172003,rosa,,,,,,,,,,,,,,,
